Source_ID,Title,Source_Date,Notes
D01,07-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-07,
D02,08-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-08,
D03,09-09-2026 Mechanical employees daily work schedule - Copy.xlsx,2026-09-09,
D04,10-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-10,
D05,14-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-14,
D06,15-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-15,
D07,16-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-16,تعارض تاريخ العنوان مع اسم الملف؛ تاريخ 16/9 مؤقت للمراجعة.
D08,17-09-2026 Mechanical employees daily work schedule.xlsx,2026-09-17,
S01,01_External_Stations_Daily_Follow_up_Master.xlsx,2026-09-08,السجل المرجعي السابق: 5 بنود؛ التحديثات الداخلية من 25/8 إلى 8/9.
S02,inspection report for flow contorl vc at seed bank park@Al Dhaid(1).docx,2026-09-09,تقرير الفحص الميكانيكي، 6 صفحات.
S03,file0(3).pdf — كتاب 104/3828/2026,2026-08-24,طلب اعتماد العرض الفني لـ PR 10013467.
S04,file0.pdf — كتاب 104/3900/2026,2026-08-25,طلب اعتماد العروض الفنية لـ PR 10013390 / RFQ 954.
S05,10013556 ready.pdf,2026-07-07,نموذج PR لأختام Cornell لمحطة PS-2، البند 15320003.
C01,محادثة تقييم العرض الفني — رسالة المورد 09/09/2026,2026-09-09,طلب البيانات والرسومات وتأكيد المطابقة من Powerline.
C02,محادثة تقييم PR 10013556 — 26–27/08/2026,2026-08-27,التقييم الفني ذُكر أنه أُرسل؛ لا يوجد إثبات LPO أو استلام في المواد التي روجعت.
C03,محادثة إعداد بريد الفحص — تحديث 17/09/2026,2026-09-17,الميكانيك وICA مستلمان؛ نواقص ICA والتكلفة التقديرية وتقرير الكهرباء.
C04,محادثات المحطات الخارجية — 17–25/08/2026,2026-08-25,سياق تاريخي مسترجع؛ لا يثبت استمرار الحالة الآن.
C05,محادثة مراسلات تراسل — 18/09/2026,2026-09-18,تأكيد تبعية وسيم أكرم 20357 للمحطات الخارجية؛ موضوع الكتاب ورقمه واتجاهه بحاجة استكمال.
C06,استرجاع محادثة تقييم PR 10013467 — 09/09/2026,2026-09-09,الاسترجاع يتضمن إفادة سابقة بإرسال التقييم؛ لم يُراجع نموذج الإرسال أو الاعتماد، لذلك لا تعتمد مرحلة جديدة تلقائياً.
C07,محادثة تسليم مهام المحطات — 20/07/2026,2026-07-20,PR 10011672 / JOB/20250694 — سياق تاريخي يحتاج تحديثاً.
