ID,Type,Subject,Station,Reference,Recorded_Status,Evidence_Date,Owner_Per_Source,Next_Action,Needs_Review,Due_Date,Closed,Sources,Notes,PR_Stage,Related_Daily_IDs
GEN-001,general,PS-1 — تأهيل السكرينات والناقل ومجرى التجاوز,PS-01,FP001 / PS-1,بانتظار تقييم فني,2026-08-25,برافين / م. عبدالله بن علي,استكمال تقييم حالة النظام وتثبيت نطاق الاستبدال والرد على المشاريع.,True,,False,S01,آخر حالة من السجل السابق؛ أعمال Screen 1 في PS-01B تبقى منفصلة ما لم تثبت صلتها بنطاق المشروع.,,
GEN-002,general,PS-3 — سبب العطل والإصلاح وجاهزية التشغيل والاحتياط,PS-03,RCA / Duty & Standby,بانتظار إثبات الجاهزية,2026-09-17,برافين / محمد أسامة / فيصل الأنصاري,توثيق نتيجة إصلاح/استبدال المضخة وRCA والاختبار وأرقام مضخات التشغيل والاحتياط.,True,,False,S01;D01;D04;D08,السجل القديم ذكر مضخة واحدة من ست خارج الخدمة وثلاثاً بالمستودع. جدول 7/9 يذكر فك مضخة 1، و10/9 فحصاً، و17/9 تشحيماً. هذه الأنشطة لا تثبت إغلاق العطل أو العدد الجاهز حالياً.,,DAY-006;DAY-044;DAY-110
GEN-003,general,PS-4 — التحقق من المضخة قبل ربط التحكم وSCADA,PS-04,PS4 Rehabilitation / Diesel Pump Automation,بانتظار مستندات فنية,2026-09-08,م. عبدالله / المشاريع / الفرق المختصة,تأكيد إرسال طلب البيانات لشهد، ثم تنسيق الفحص وحدوده والاختبار مع GWT/OEM.,True,,False,S01,أُعدت مسودة طلب معلومات؛ لا يوجد تأكيد إرسالها أو تنفيذ الفحص. يدرج ضمن مشروع المحطة والتنسيق، وليس أعمال أسطول ورشة الديزل.,,
GEN-004,general,الذيد — استكمال تقييم غرف وصمامات بنك البذور,SEED-BANK,Seed Bank / زيارة 09-09-2026,بانتظار استكمال التقارير,2026-09-17,برافين / الميكانيك / الكهرباء / ICA,استكمال نواقص ICA وتقرير الكهرباء والتكلفة التقديرية ثم رفع تقرير موحّد للمدير.,False,,False,S02;C03;D03,نطاق التكليف: معاينة وتقييم. أعمال الإصلاح غير معتمدة بهذا السجل. تقرير الميكانيك يذكر أعطال تشغيل آلي وملاحظات لمنع دخول المياه؛ يلزم تقييم موحد قبل اعتماد إجراء تنفيذي.,,DAY-032
GEN-005,general,Birdi Lagoon — توريد وتركيب واختبار مشغل DN600,BIRDI-LAGOON,مراسلة 24-08-2026,تحتاج تحديثاً,2026-08-24,برافين / ICA / AMET,تأكيد الاستلام والتركيب وحدود مسؤولية الفرق ونتيجة اختبار التشغيل.,True,,False,C04,إفادة تاريخية عن وجود المشغل في مستودع AMET بالصجعة؛ لا تعني أنه رُكّب. تبقى منفصلة عن Bidiya DN450.,,
GEN-006,general,Birdi EPS — صمام DN600 وتصريح العمل,BIRDI-EPS,معاينة 24-08-2026,تحتاج تحديثاً,2026-08-25,برافين / فريق الموقع,تأكيد وضع التسريب وMOS وتصريح العمل ونتيجة أي استبدال تم.,True,,False,C04,آخر سياق مسترجع: تسريب بسيط وصمام متوفر وبدء العمل غير مؤكد. لا يدمج مع مشغل Birdi Lagoon دون مطابقة الأصل.,,
GEN-007,general,New Bidiya — تسريب أختام المضختين 1 و3,NEW-BIDIYA,Mechanical Seals / Warranty,تحتاج تحديثاً,2026-08-17,برافين / الفريق الميكانيكي / المورد,تأكيد الإصلاح بالأختام الأصلية والاختبار وتوثيق استمرار الضمان.,True,,False,C04,متابعة تاريخية؛ إنجاز صمام DN450 في Bidiya لا يغلق تسريب أختام المضخات.,,
GEN-008,general,الشهباء — مضخة الغسيل العكسي للفلتر القرصي,SHAHBA,Disc Filter Backwash Pump,تحتاج تحديثاً,2026-08-17,برافين / المشاريع / المورد,تحديث وضع الصوت غير الطبيعي والمسامير المكسورة وإثبات الإصلاح والاختبار.,True,,False,C04,سياق سابق مرتبط بملاحظات الضمان؛ لا يُفترض استمرار العطل أو سريان الضمان اليوم.,,
GEN-009,general,مويلح — الاهتزاز وVFD وأوعية الحماية من الصدمات,PS-009,VFD / Vibration / Surge Vessels,تحتاج تحديثاً,2026-08-17,برافين / الكهرباء / ICA,الحصول على آخر قياسات الاهتزاز وحالة VFD وأوعية الحماية ونتائج التشغيل.,True,,False,C04,أعمال تشحيم المضخات وفحص الضاغط في سبتمبر ليست إثباتاً لإغلاق عطل VFD أو الاهتزاز السابق.,,
GEN-010,general,PS-03 / PS-6 — قرار مشروع تحويل المضخات,PS-03,Immersible Pump Conversion,تحتاج تحديثاً,2026-08-17,م. عبدالله / المشاريع,تأكيد الموقع النهائي للمضخات والنطاق المعتمد قبل ربطها بأي أمر صيانة.,True,,False,C04,متابعة مشروع سابقة واحتمال نقل إلى PS-6؛ لا تدمج مع RCA لمضخة PS-3 أو توريد KSB لمجرد تشابه اسم المحطة.,,
