Finding_ID,Priority,Subject,Finding,Required_Action,Sources
QA-01,high,تاريخ ملف 16/9 لا يطابق العنوان الداخلي,اسم الملف 16-09-2026، بينما A1 يحمل WORK SCHEDULE 15-09-2026. استُخدم تاريخ الاسم مؤقتاً للعرض فقط، مع وسم جميع أنشطته للمراجعة.,تأكيد تاريخ اليوم الصحيح من برافين قبل الاعتماد.,D07
QA-02,high,أرقام أوامر عمل مكررة عبر مواقع مختلفة,"المطابقات المكتشفة: 5410002149: PS-01B, PS-02, UNASSIGNED؛ 5230033586: KASHISHA, PS-009, PS-02؛ 5230033583: NABBA, UNASSIGNED؛ 5230033604: VACUUM-03, VACUUM-04؛ 5410002156: FL009, FL014. لا يفترض أنها أخطاء قطعاً؛ قد تكون أوامر جامعة، لكن يلزم التحقق.",الربط بالمحطة + الأصل + نوع المهمة، وليس رقم الأمر وحده.,D01;D03;D05;D06;D07
QA-03,high,قيمة وقت في خانة رقم أمر العمل,ملف 8/9، J21 يحتوي 0.4166666667 (ما يعادل 10:00 كوقت Excel)، ضمن لحام صمام DN450. حُفظت القيمة الخام ولم تعتمد كرقم SAP.,طلب رقم أمر العمل الصحيح.,D02
QA-04,normal,الحالة اليومية تختلف عن الحالة النهائية,43 نشاطاً يومياً مجمعاً فيه اختلاف بين Current Work Status وFinal Work Status. لا تعني Completed اليومية إغلاق الحالة الرئيسية.,حفظ الإنجاز اليومي منفصلاً عن إغلاق الحالة واختبار المعدة.,D01;D02;D03;D04;D05;D06;D07;D08
QA-05,normal,عودة فلتر Vacuum-04 من مكتمل إلى قيد التنفيذ,الأمر 5230033611 ظهر Completed في 14/9 ثم In progress في 15–17/9. استُخدمت أحدث حالة مع إبقاء السجل السابق.,تأكيد ما إذا كان التنفيذ الجزئي أو بنداً إضافياً.,D05;D06;D07;D08
QA-06,normal,نوع الصمام في GL084 غير متسق,الأمر 5230033601 وصف Gate Valve في 10/9 ثم NRV في 14/9؛ لا يتم توحيد النوع دون تحقق.,مطابقة الأصل والمنفذ مع أمر SAP.,D04;D05
QA-07,normal,أبعاد أغطية المجاز 2 تحتاج تأكيد الوحدة,الوصف يذكر 4nos 120 x 140mm. لم يتم تغيير الوحدة أو افتراض أبعاد بديلة.,تأكيد الأبعاد والوحدة قبل اعتماد الوصف.,D07;D08
QA-08,normal,كتب تراسل غير المكتملة لا تُصنف افتراضياً,ثُبت كتابا وارد PR 10013390 وPR 10013467. بيانات كتاب PR 10013556 ووسيم أكرم 20357 غير مكتملة في البيانات المنقولة، ولا يوجد إثبات معتمد لصادر أو إغلاق ضمن النسخة.,إكمال الرقم والاتجاه وتاريخ الرد ورابط المستند.,S03;S04;C05
QA-09,high,الحالات التاريخية لا تمثل الجاهزية الحالية,متابعات KSB وBirdi وNew Bidiya والشهباء وPS-009 ومشروع التحويل تحت المراجعة. التشحيم أو الفحص العام لا يثبت معالجة عطل سابق أو الجاهزية الكاملة.,تأكيد الحالة بدليل فحص أو استلام أو رد حديث.,S01;C04
QA-10,normal,مساندة ورشة الديزل أو الأقسام الأخرى تُفصل عن الملكية,نقل مضخة وخراطيم من الجبيل بتاريخ 9/9 وأعمال مدنية بالحومة بتاريخ 17/9 تظهر كأنشطة نفذها الفريق. لم يُنشأ منها سجل أصل ديزل أو طلب شراء يخص الورشة.,تأكيد الجهة المالكة وإظهارها كمساندة فقط.,D03;D08
