ID;Subject;Waiting_On;مصدر الاشتراق;ملاحظة
GEN-001;PS-1 — تأهيل السكرينات والناقل ومجرى التجاوز;الفريق;مشتق من نص الإجراء التالي;استكمال تقييم حالة النظام وتثبيت نطاق الاستبدال والرد على المشاريع.
GEN-002;PS-3 — سبب العطل والإصلاح وجاهزية التشغيل والاحتياط;الفريق;مشتق من نص الإجراء التالي;توثيق نتيجة إصلاح/استبدال المضخة وRCA والاختبار وأرقام مضخات التشغيل والاحتياط.
GEN-003;PS-4 — التحقق من المضخة قبل ربط التحكم وSCADA;الفريق;مشتق من نص الإجراء التالي;تأكيد إرسال طلب البيانات لشهد، ثم تنسيق الفحص وحدوده والاختبار مع GWT/OEM.
GEN-004;الذيد — استكمال تقييم غرف وصمامات بنك البذور;ICA;مشتق من نص الإجراء التالي;استكمال نواقص ICA وتقرير الكهرباء والتكلفة التقديرية ثم رفع تقرير موحّد للمدير.
GEN-005;Birdi Lagoon — توريد وتركيب واختبار مشغل DN600;ICA;مشتق من نص الإجراء التالي;تأكيد الاستلام والتركيب وحدود مسؤولية الفرق ونتيجة اختبار التشغيل.
GEN-006;Birdi EPS — صمام DN600 وتصريح العمل;الفريق;مشتق من نص الإجراء التالي;تأكيد وضع التسريب وMOS وتصريح العمل ونتيجة أي استبدال تم.
GEN-007;New Bidiya — تسريب أختام المضختين 1 و3;المورد;مشتق من نص الإجراء التالي;تأكيد الإصلاح بالأختام الأصلية والاختبار وتوثيق استمرار الضمان.
GEN-008;الشهباء — مضخة الغسيل العكسي للفلتر القرصي;إدارة المشاريع;مشتق من نص الإجراء التالي;تحديث وضع الصوت غير الطبيعي والمسامير المكسورة وإثبات الإصلاح والاختبار.
GEN-009;مويلح — الاهتزاز وVFD وأوعية الحماية من الصدمات;قسم الكهرباء;مشتق من نص الإجراء التالي;الحصول على آخر قياسات الاهتزاز وحالة VFD وأوعية الحماية ونتائج التشغيل.
GEN-010;PS-03 / PS-6 — قرار مشروع تحويل المضخات;إدارة المشاريع;مشتق من نص الإجراء التالي;تأكيد الموقع النهائي للمضخات والنطاق المعتمد قبل ربطها بأي أمر صيانة.
GEN-011;KSB — التوريد والإقفال التعاقدي والضمان;إدارة المشاريع;مشتق من نص الإجراء التالي;تأكيد التوريد والفحص والاستلام وإغلاق الملاحظات قبل إجراءات الضمان البنكي.
GEN-012;الموظف وسيم أكرم — استكمال بيانات المتابعة;المتابعة الإدارية;مشتق من نص الإجراء التالي;تحديد موضوع الكتاب ورقمه واتجاهه والإجراء المطلوب والمسؤول عنه.
PR-10013390;صمامات عدم الرجوع NRV;المورد;مشتق من نص الإجراء التالي;متابعة رد Powerline بالبيانات والرسومات والأبعاد والمواد ثم إكمال التقييم.
PR-10013467;قطع غيار KSB — التقييم والاعتماد;العقود والمشتريات / تراسل;مشتق من نص الإجراء التالي;تأكيد إرسال التقييم والرد في تراسل ومعالجة أي اختلاف بالرقم التسلسلي قبل تغيير المرحلة.
PR-10013556;الختم الميكانيكي Cornell لمحطة PS-2;العقود والمشتريات / تراسل;مشتق من نص الإجراء التالي;تأكيد الاعتماد في تراسل ورقم LPO وموعد التوريد.
PR-OIL;طلب زيوت المحطات الخارجية;المستودع;مشتق من نص الإجراء التالي;استكمال أكواد الزيوت وتأكيد المواصفات والكميات ثم توثيق رفع الطلب.
PR-GREASE;طلب شحوم المحطات الخارجية;المستودع;مشتق من نص الإجراء التالي;استكمال أكواد الشحوم وتأكيد المواصفات والكميات ثم توثيق رفع الطلب.
PR-10011672;مواد KSB — متابعة تاريخية للتوريد;العقود والمشتريات / تراسل;مشتق من نص الإجراء التالي;مراجعة حالة التوريد وLPO والاستلام وتأكيد استمرارية المتابعة.
WRK-001;PS-2 — إصلاح جسم المضخة 2 والمحاذاة;الفريق;مشتق من نص الإجراء التالي;إكمال المحاذاة وتسجيل اختبار التسريب والاهتزاز والتشغيل، مع تأكيد نتائج المضختين 1 و3.
WRK-002;مويلح — فحص الضاغط;الفريق;مشتق من نص الإجراء التالي;توثيق نتيجة فحص الزيت والمرشح والسيور وما تبقى حتى إنجاز الفحص نهائياً.
WRK-003;المجاز 2 — تصنيع أربعة أغطية مناهل;الفريق;مشتق من نص الإجراء التالي;تأكيد الأبعاد والوحدة ثم استكمال التصنيع والفحص والتركيب.
WRK-004;Vacuum-04 — تصنيع فلتر احتياطي DN400;الفريق;مشتق من نص الإجراء التالي;استكمال التصنيع وفحص المقاسات والتثبيت وتوثيق الاختبار.
WRK-005;PS-4 — فحص السكرين;الفريق;مشتق من نص الإجراء التالي;توثيق نتائج الفحص والإصلاحات المتبقية وحالة التشغيل.
WRK-006;الدراري — تجميع تروس وSpacer للـWashpactor;الفريق;مشتق من نص الإجراء التالي;إنهاء التجميع وتسجيل اختبار الحركة والأداء.
WRK-007;PS-01B — تثبيت صفيحة دعم Screen 1;الفريق;مشتق من نص الإجراء التالي;تأكيد تاريخ العمل وإكمال التركيب والاختبار وتحديد الارتباط بالمشروع.
WRK-008;PS-01B — فحص NRV DN400 للمضخات;الفريق;مشتق من نص الإجراء التالي;تأكيد نتائج فحص الصمامات ومضخات السحب المعنية والإغلاق الفني.
WRK-009;PS-2 — فحص وصيانة السكرينات;الفريق;مشتق من نص الإجراء التالي;تأكيد إكمال فحص Screen 1 و2 والأجزاء المستبدلة واختبار التشغيل.
WRK-010;السمنان — فحص Gate Valve DN300;الفريق;مشتق من نص الإجراء التالي;تحديث نتيجة الفحص والإجراء المتبقي.
WRK-011;السمنان — فحص صمام عزل DN150;الفريق;مشتق من نص الإجراء التالي;تأكيد صلة الفحص بالاستبدال اللاحق وإغلاق الأمر بالأدلة.
WRK-012;الشموس — جاهزية المضخة 1 ودهان القاعدة;الفريق;مشتق من نص الإجراء التالي;تأكيد وضع المضخة بعد تغيير المحرك والفك والدهان وتوثيق تشغيلها.
WRK-013;القرائن — فحص المضخة 5;الفريق;مشتق من نص الإجراء التالي;تأكيد نتيجة الفحص والحالة التشغيلية وما تبقى.
WRK-014;القرائن — فك محرك المضخة 4;الفريق;مشتق من نص الإجراء التالي;تأكيد رقم أمر العمل وخطة إعادة المحرك والتركيب والاختبار.
WRK-015;Vacuum-04 — تسريب خط الطرد;الفريق;مشتق من نص الإجراء التالي;تأكيد إصلاح التسريب ونتيجة الاختبار.
WRK-016;المنصورة — استكمال أغطية المناهل;الفريق;مشتق من نص الإجراء التالي;تأكيد إنجاز الأغطية الثلاثة وتركيبها مع إثبات العدد.
WRK-017;المجاز 3 — تصنيع أغطية مناهل;الفريق;مشتق من نص الإجراء التالي;تأكيد رقم الأمر وإكمال الكمية والتركيب.
WRK-018;ورشة المحطات — إصلاح صمامات NRV DN200;الفريق;مشتق من نص الإجراء التالي;مطابقة الصمامات الستة ومراحل الإصلاح والدهان والاختبار وأرقام الأوامر.
WRK-019;البدية — تركيب صمام DN450 والمشغل;الفريق;مشتق من نص الإجراء التالي;توثيق اختبار الفتح والإغلاق والتسريب وأوضاع التحكم بعد التثبيت.
WRK-020;القاسمية — أعمال NRV وصمام DN150;الفريق;مشتق من نص الإجراء التالي;تأكيد إنجاز NRV للمضختين 1 و2، وعدم الاكتفاء بإتمام صمام GV DN150.
WRK-021;المطار GL084 — استبدال صمام وتركيب NRV;الفريق;مشتق من نص الإجراء التالي;تأكيد هل المنفذ Gate Valve أم NRV أو كلاهما، ثم تسجيل الاختبار والإغلاق.
WRK-022;الخشيشة — محاذاة المضخات;الفريق;مشتق من نص الإجراء التالي;تأكيد نتائج محاذاة المضخات 1 و2 و3 والاختبار النهائي.
WRK-023;مويلح — فك مضخة محطة معالجة الروائح OCU;الفريق;مشتق من نص الإجراء التالي;تأكيد الإصلاح وإعادة التركيب والتشغيل ورقم أمر SAP الصحيح.
WRK-024;الجازات FL014 — الصيانة الوقائية;الفريق;مشتق من نص الإجراء التالي;تأكيد الإنجاز الميداني؛ تحديث PM في اليوم التالي لا يكفي وحده لإغلاق الفحص.
WRK-025;الصناعية 3 — دهان خط تعبئة الصهاريج;الفريق;مشتق من نص الإجراء التالي;تحديث إنجاز طبقة الدهان والفحص النهائي.
SUP-001;دعم الأقسام — أعمال قطع الحديد في الحومة;الفريق;مشتق من نص الإجراء التالي;تأكيد نطاق التكليف والجهة المستفيدة وما تبقى من العمل.
